user_id,username,week_start,phase1,phase2,total
1301523585634144318,machupichullama,2025-06-30,000000000,524698600,524698600
756590614941925466,k3v7,2025-06-30,000000000,372798271,372798271
395257295463907329,3mr000,2025-06-30,000000000,404981095,404981095
535069040213884928,anduel8,2025-06-30,000000000,471514700,471514700
978640650587209798,quincyvampire,2025-06-30,000000000,523982300,523982300
756590614941925466,k3v7,2025-07-07,122617079,524824600,647441679
535069040213884928,anduel8,2025-07-07,524689900,000000000,524689900
1275497167079079969,f8itan,2025-07-07,191194043,361429919,552623962
395257295463907329,3mr000,2025-07-07,374269491,193117335,567386826
660292098209218570,is6.,2025-07-07,258507478,224355659,482863137
978640650587209798,quincyvampire,2025-07-07,524614200,253911085,778525285
1301523585634144318,machupichullama,2025-07-07,301861441,525184200,827045641
